852	0	25	0	670	4	1	0	2	208	67	2	3	242	56	12	7	20	50	4	9	25	165	23	7	117	2	9	4	0	50	3	537	87	1	302	26	4	474	25	1	14	3	43	773	0	6	3	41	43	10	43	0	0	5075	
3	131	4	1	246	4	3	0	0	31	4	1	0	51	6	4	0	0	2	4	7	12	38	7	4	24	0	3	0	2	11	0	181	12	0	53	5	1	78	5	0	5	0	3	105	0	0	0	8	12	4	7	1	0	1083	
16	2	919	6	901	5	4	1	0	205	70	2	3	221	44	13	14	10	33	2	23	28	160	25	6	94	2	5	4	2	71	1	610	58	1	260	21	4	414	23	2	12	1	35	613	0	1	1	47	52	3	30	1	0	5081	
20	1	16	390	532	16	3	0	0	146	60	0	1	190	39	22	11	25	32	6	6	15	136	15	7	96	0	4	2	1	32	0	359	71	0	223	24	7	321	27	1	11	1	39	590	0	3	1	24	24	13	24	0	0	3587	
42	9	54	23	21727	27	33	2	2	365	101	7	7	689	98	48	26	46	58	6	38	88	461	77	18	207	5	19	13	4	249	13	2123	140	1	666	53	16	1171	32	3	23	10	71	1452	0	15	4	80	82	17	98	2	0	30621	
29	0	18	5	989	806	6	1	0	176	49	2	2	238	32	11	7	6	24	5	16	37	172	22	6	74	0	7	4	2	83	3	632	54	0	244	21	9	396	4	0	6	2	24	543	0	1	0	49	41	5	38	0	0	4901	
11	3	15	1	879	17	739	0	0	98	27	1	1	170	22	6	7	6	14	3	27	51	85	30	2	44	0	4	5	1	104	0	512	31	0	110	7	6	221	9	1	10	0	15	282	0	3	3	33	42	0	24	0	0	3682	
2	0	4	1	130	2	0	110	0	19	1	0	0	30	1	4	1	1	2	1	3	1	16	5	0	8	1	3	0	0	16	0	108	7	0	21	0	3	39	2	0	5	1	3	62	0	1	0	3	3	0	4	1	0	625	
1	3	5	1	181	0	1	1	87	27	5	3	1	39	7	2	2	4	4	2	1	5	35	11	3	9	2	0	1	0	15	2	111	7	0	38	4	1	60	3	0	4	2	2	80	3	0	0	4	6	0	8	1	0	794	
46	2	24	12	2109	11	8	2	1	4611	77	1	5	575	49	19	23	33	47	11	9	31	227	41	14	109	5	11	10	6	67	9	1481	94	3	662	47	7	1027	29	4	21	4	31	1466	0	7	1	48	34	11	42	0	0	13224	
24	1	16	7	1132	10	5	0	1	274	1912	0	3	349	30	20	12	14	30	2	8	17	245	23	7	145	3	8	7	4	87	3	749	122	3	359	40	7	585	25	2	17	3	25	914	1	2	2	32	23	10	17	0	0	7337	
5	2	1	0	250	0	3	0	0	30	10	209	0	43	10	4	4	4	2	1	6	13	24	13	3	6	0	2	2	0	21	0	153	10	0	58	4	1	61	1	1	2	1	4	81	0	4	0	4	8	0	10	0	0	1071	
5	0	4	5	260	5	2	0	0	48	24	0	130	104	24	6	6	9	10	1	4	14	51	13	3	33	0	6	3	0	15	3	194	33	1	93	17	2	165	5	0	4	0	13	244	0	0	1	13	9	1	10	1	0	1594	
